id,user,uid,version,changeset,timestamp
8778446,smlyons77,953610,5,40804964,2016-07-17T19:51:05Z
8778448,smlyons77,953610,3,29624927,2015-03-20T21:19:49Z
8778456,smlyons77,953610,7,40532519,2016-07-07T01:27:04Z
8778462,NE2,207745,3,8337106,2011-06-04T08:49:51Z
8778464,NE2,207745,2,8868941,2011-07-30T04:55:01Z
8778472,smlyons77,953610,6,16154119,2013-05-16T15:17:23Z
8778478,smlyons77,953610,4,16154119,2013-05-16T15:17:23Z
8778495,mihaii_telenav,2944689,4,39923600,2016-06-10T07:08:49Z
8778500,YalCat,1100566,5,24824373,2014-08-18T06:52:21Z
8778504,smlyons77,953610,4,13469745,2012-10-12T17:43:49Z
8778514,jsjgruber,403569,6,43447522,2016-11-06T18:23:53Z
8778518,smlyons77,953610,4,40908938,2016-07-20T23:41:18Z
8778521,NE2,207745,5,12518373,2012-07-28T01:36:18Z
8778523,smlyons77,953610,4,14829765,2013-01-29T01:03:20Z
8778525,Minh Nguyen,33757,4,2012704,2009-08-02T12:12:21Z
8778535,smlyons77,953610,9,29579908,2015-03-18T21:20:32Z
8778543,a_white,583595,4,13940806,2012-11-20T04:05:17Z
8778546,smlyons77,953610,4,13469745,2012-10-12T17:45:12Z
8778547,smlyons77,953610,6,40430320,2016-07-02T02:38:49Z
8778552,smlyons77,953610,6,40430320,2016-07-02T02:38:49Z
8778557,smlyons77,953610,5,16154119,2013-05-16T16:00:31Z
8778570,smlyons77,953610,9,43833869,2016-11-20T22:28:53Z
8778573,smlyons77,953610,5,15213045,2013-03-01T19:00:57Z
8778578,BranchLine,1718513,7,44483965,2016-12-18T07:04:17Z
8778587,NE3,473471,4,8775085,2011-07-20T06:28:09Z
8778591,smlyons77,953610,6,41602730,2016-08-22T00:11:47Z
8778594,smlyons77,953610,4,16154119,2013-05-16T15:22:08Z
8778599,jsjgruber,403569,8,43523827,2016-11-10T02:41:11Z
8778608,jsjgruber,403569,6,43455224,2016-11-07T01:31:50Z
8778632,mihaii_telenav,2944689,4,39923123,2016-06-10T06:36:06Z
8778636,DaveHansenTiger,7168,1,84092,2007-10-10T15:35:01Z
8778640,BranchLine,1718513,9,44483965,2016-12-18T07:04:17Z
8778646,claysmalley,119881,6,15322806,2013-03-10T23:46:41Z
8778648,mihaii_telenav,2944689,12,39923908,2016-06-10T07:30:11Z
8778649,smlyons77,953610,4,41314048,2016-08-08T00:36:41Z
8778652,smlyons77,953610,8,42258452,2016-09-19T00:00:35Z
8778655,smlyons77,953610,7,13860719,2012-11-13T16:10:04Z
8778660,smlyons77,953610,5,40405109,2016-06-30T23:51:30Z
8778662,Minh Nguyen,33757,2,2012842,2009-08-02T12:16:14Z
8778677,NE3,473471,4,8775085,2011-07-20T06:28:06Z
8778679,NE3,473471,4,8775085,2011-07-20T06:28:08Z
8778680,DaveHansenTiger,7168,1,84092,2007-10-10T15:35:22Z
8778683,smlyons77,953610,5,16154119,2013-05-16T15:05:59Z
8778688,NE2,207745,6,12518029,2012-07-28T00:10:07Z
8778690,NE2,207745,3,8337106,2011-06-04T08:52:49Z
8778694,mihaii_telenav,2944689,6,39923678,2016-06-10T07:14:31Z
8778705,NE2,207745,6,13206239,2012-09-22T11:29:03Z
8778706,smlyons77,953610,8,40908938,2016-07-20T23:41:18Z
8778708,a_white,583595,4,13986565,2012-11-22T14:56:05Z
8778711,smlyons77,953610,7,16154119,2013-05-16T16:02:48Z
8778712,uboot,26299,2,13923895,2012-11-18T20:24:12Z
8778732,Minh Nguyen,33757,3,2012945,2009-08-02T12:33:53Z
8778733,smlyons77,953610,4,14871732,2013-02-01T14:25:05Z
8778744,a_white,583595,2,19245358,2013-12-03T04:08:57Z
8778753,smlyons77,953610,4,16154119,2013-05-16T15:24:25Z
8778762,smlyons77,953610,4,16161289,2013-05-17T03:11:48Z
8778766,jsjgruber,403569,6,43447522,2016-11-06T18:23:52Z
8778776,smlyons77,953610,5,41314048,2016-08-08T00:51:09Z
8778777,BranchLine,1718513,4,42399966,2016-09-24T07:06:02Z
8778781,Gone,120468,4,5055728,2010-06-23T00:15:51Z
8778786,a_white,583595,2,19245358,2013-12-03T04:08:57Z
8778787,a_white,583595,2,19245358,2013-12-03T04:08:56Z
8778791,smlyons77,953610,4,15130668,2013-02-23T02:16:03Z
8778792,smlyons77,953610,5,41602730,2016-08-22T00:10:21Z
8778794,smlyons77,953610,10,41627108,2016-08-23T00:34:52Z
8778809,smlyons77,953610,10,40802921,2016-07-17T18:27:06Z
8778816,DaveHansenTiger,7168,1,84092,2007-10-10T15:36:14Z
8778819,mihaii_telenav,2944689,5,39923641,2016-06-10T07:11:50Z
8778820,Minh Nguyen,33757,2,2012945,2009-08-02T12:36:10Z
8778822,Minh Nguyen,33757,2,11209995,2012-04-07T06:55:40Z
8778826,smlyons77,953610,6,41627108,2016-08-23T00:37:29Z
8778830,Jonathan ZHAO,837425,4,21220322,2014-03-21T01:05:57Z
8778832,uboot,26299,2,13923895,2012-11-18T20:24:12Z
8778841,BranchLine,1718513,3,19578848,2013-12-22T10:18:08Z
8778846,BranchLine,1718513,6,21619574,2014-04-11T04:42:01Z
8778860,smlyons77,953610,6,14872193,2013-02-01T15:06:46Z
8778883,DaveHansenTiger,7168,1,84092,2007-10-10T15:36:32Z
8778885,smlyons77,953610,6,40430320,2016-07-02T02:33:25Z
8778887,NE2,207745,3,13273689,2012-09-27T15:45:13Z
8778899,mihaii_telenav,2944689,3,39923123,2016-06-10T06:36:06Z
8778908,smlyons77,953610,9,40802921,2016-07-17T18:18:11Z
8778914,calfarome,2511706,4,32292327,2015-06-29T19:16:49Z
8778916,DaveHansenTiger,7168,1,84092,2007-10-10T15:36:45Z
8778922,smlyons77,953610,2,15414512,2013-03-18T23:02:46Z
8778932,smlyons77,953610,8,40909772,2016-07-21T01:23:55Z
8778936,smlyons77,953610,5,41314048,2016-08-08T00:53:18Z
8778937,smlyons77,953610,4,15503289,2013-03-26T14:27:22Z
8778939,bot-mode,451693,2,15792154,2013-04-20T02:01:00Z
8778941,smlyons77,953610,6,15444792,2013-03-21T16:36:37Z
8778946,bot-mode,451693,2,15792154,2013-04-20T02:01:01Z
8778948,smlyons77,953610,2,14419697,2012-12-26T23:37:45Z
8778950,smlyons77,953610,2,13583998,2012-10-21T19:56:29Z
8778952,smlyons77,953610,4,39633751,2016-05-29T00:25:18Z
8778953,smlyons77,953610,3,19500799,2013-12-17T16:05:05Z
8778954,smlyons77,953610,3,14643171,2013-01-14T01:17:02Z
8778957,bot-mode,451693,2,14374932,2012-12-23T08:29:01Z
8778958,bot-mode,451693,2,15792154,2013-04-20T02:01:01Z
8778961,bot-mode,451693,3,14374932,2012-12-23T08:29:01Z
8778963,smlyons77,953610,8,14642456,2013-01-13T23:21:56Z
8778966,smlyons77,953610,3,15696323,2013-04-12T02:26:42Z
8778967,smlyons77,953610,4,15855261,2013-04-25T02:21:38Z
8778972,smlyons77,953610,9,15900721,2013-04-28T21:27:06Z
8778974,Rub21,510836,3,17280920,2013-08-09T15:55:01Z
8778975,smlyons77,953610,3,15319167,2013-03-10T19:13:49Z
8778977,smlyons77,953610,8,15900721,2013-04-28T21:27:06Z
8778978,smlyons77,953610,8,17928441,2013-09-19T19:40:18Z
8778980,bot-mode,451693,4,15792154,2013-04-20T02:01:02Z
8778981,smlyons77,953610,5,18238357,2013-10-07T23:24:58Z
8778983,smlyons77,953610,4,19292560,2013-12-05T16:52:31Z
8778985,smlyons77,953610,4,15414512,2013-03-18T23:04:44Z
8778998,smlyons77,953610,3,15443624,2013-03-21T15:13:34Z
8779005,DougPeterson,1469704,8,41126775,2016-07-30T12:37:19Z
8779007,smlyons77,953610,2,14379372,2012-12-23T16:16:52Z
8779008,smlyons77,953610,2,14414278,2012-12-26T16:25:27Z
8779010,smlyons77,953610,2,13688540,2012-10-30T16:49:11Z
8779011,bot-mode,451693,3,15792154,2013-04-20T02:01:03Z
